96,88,1
64,83,1
99,92,1
81,69,0
73,76,0
68,83,1
54,85,0
56,80,0
75,73,0
67,65,0
80,89,1
55,55,0
83,48,0
81,60,0
67,67,0
67,67,0
71,66,0
64,85,0
86,91,1
98,93,1
57,56,0
84,80,0
83,84,1
83,92,1
63,84,0
57,72,0
82,78,0
84,74,0
57,48,0
64,68,0
93,98,1
94,98,1
78,80,0
87,77,1
66,76,0
90,92,1
86,94,1
81,66,0
99,100,1
40,83,0
79,92,1
80,81,1
63,54,0
60,83,0
99,99,1
91,91,1
84,88,1
44,69,0
80,80,1
90,50,0
87,97,1
56,32,0
63,79,0
89,84,1
67,81,0
91,89,1
55,79,0
96,98,1
93,96,1
86,80,0
81,79,0
86,90,1
59,72,0
97,93,1
69,91,0
74,78,0
74,60,0
50,66,0
63,96,1
72,91,1
83,67,0
89,86,1
84,84,0
74,77,0
100,96,1
50,58,0
77,89,1
74,78,0
46,53,0
84,31,0
83,85,1
58,82,1
88,100,1
60,87,1
71,91,1
53,71,0
55,75,0
38,85,0
56,75,0
59,60,0
50,85,1
73,65,0
80,78,1
66,74,1
60,94,1
49,14,0
33,55,0
60,34,0
75,76,1
21,46,0
59,80,0
69,69,0
38,46,0
63,79,0
100,98,1
73,88,1
85,71,1
58,82,1
28,57,0
65,78,1
